model,frames,cls_head,finetuned,acc[mean],acc[std],acc@5[mean],acc@5[std],f1[mean],f1[std],dataset
videomaev2,32,randomforest,False,0.4596949891067538,0.0019185851238621326,0.8820417055711173,0.0008803072283679365,0.2557350726294545,0.006472432473106611,football
videomaev2,32,svm,False,0.5312791783380019,0.0,0.9318394024276376,1.1102230246251565e-16,0.43129035234509666,0.0,football
videomaev2,32,mlp,False,0.5244319950202304,0.00044015361418396826,0.9309056956115779,1.1102230246251565e-16,0.43191816524205073,0.0017934414154224965,football
uniformerv2,16,randomforest,False,0.6779820839226779,0.006961255568238296,0.9641678453559641,0.003333836780700376,0.4819820096803274,0.00975831429774836,aerobic_gymnastics
uniformerv2,16,svm,False,0.8246110325318247,0.0,0.9896275341819897,0.0006667673561400437,0.6938371243059617,1.1102230246251565e-16,aerobic_gymnastics
uniformerv2,16,mlp,False,0.8033946251768033,0.0030555118804374663,0.9886845827439887,0.0011548749376629733,0.6522405367846927,0.002924589404154747,aerobic_gymnastics
uniformerv2,32,randomforest,False,0.6793965110796795,0.002906371524266383,0.9585101367279586,0.002906371524266383,0.47739778835851693,0.013462518149558393,aerobic_gymnastics
uniformerv2,32,svm,False,0.7864214992927864,0.0,0.9886845827439887,0.0,0.6441772849839928,0.0,aerobic_gymnastics
uniformerv2,32,mlp,False,0.7892503536067893,0.004163960804492154,0.9872701555869873,0.0,0.6497816080506096,0.002623678486859427,aerobic_gymnastics
videomaev2,32,randomforest,False,0.7322017916077321,0.004372285947899903,0.975954738330976,0.002000302068420236,0.5523577906589935,0.005031307894832112,aerobic_gymnastics
videomaev2,32,svm,False,0.8514851485148515,0.0,0.9853842527109853,0.0006667673561400437,0.7297465945588483,1.1102230246251565e-16,aerobic_gymnastics
videomaev2,32,mlp,False,0.8604431871758605,0.0017641006066826804,0.9867986798679867,0.0006667673561400961,0.7317549807916893,0.0011526523773033124,aerobic_gymnastics
mvitv2,8,randomforest,False,0.173974540311174,0.0034646248129889313,0.604903347477605,0.003528201213365322,0.10844723092527564,0.004884869091944118,aerobic_gymnastics
mvitv2,8,svm,False,0.297029702970297,0.0,0.7977369165487977,0.0011548749376629733,0.2042560187107428,2.7755575615628914e-17,aerobic_gymnastics
mvitv2,8,mlp,False,0.2135785007072136,0.0011548749376629848,0.6308345120226307,0.002000302068420184,0.12763067501108175,0.001480650079700053,aerobic_gymnastics
mvitv2,16,randomforest,False,0.16454502593116452,0.007689536270768546,0.5591702027345592,0.007689536270768553,0.10999424630403992,0.005867798253943822,aerobic_gymnastics
mvitv2,16,svm,False,0.32390381895332393,0.0,0.7600188590287601,0.0017641006066826807,0.23017860385276437,2.7755575615628914e-17,aerobic_gymnastics
mvitv2,16,mlp,False,0.23998114097124,0.003528201213365344,0.6294200848656294,0.0011548749376629733,0.10033648911957117,0.000819828613419822,aerobic_gymnastics
uniformerv2,8,randomforest,True,0.6023391812865496,0.0033081019002879518,0.8970760233918128,0.0019099335226379465,0.29863024454010895,0.0031798173061123283,basketball
uniformerv2,8,svm,True,0.6,0.0,0.8810916179337233,0.0011027006334293349,0.30201592801624205,0.0,basketball
uniformerv2,8,mlp,True,0.5980506822612086,0.0014587358233036788,0.8791423001949318,0.0005513503167146412,0.29660387155325235,0.0015141366301070895,basketball
mvitv2,32,randomforest,True,0.5157894736842105,0.005963765512974036,0.8580896686159843,0.0030697886448389283,0.19788541802083323,0.0038085062191978675,basketball
mvitv2,32,svm,True,0.5181286549707602,0.0,0.8378167641325537,0.0024032803130483137,0.19072204322364794,0.0,basketball
mvitv2,32,mlp,True,0.5430799220272905,0.001987921837658,0.8499025341130605,0.001987921837658,0.1933618172470494,0.0027981394598826557,basketball
videomaev2,16,randomforest,True,0.773879142300195,0.001987921837658036,0.9446393762183235,0.006500324366679562,0.4701601840226404,0.0026344226383034682,basketball
videomaev2,16,svm,True,0.7660818713450293,0.0,0.9582846003898635,0.0014587358233036885,0.4679791868129108,5.551115123125783e-17,basketball
videomaev2,16,mlp,True,0.7555555555555555,0.0,0.9586744639376219,0.0014587358233036788,0.4779065960175359,1.3219269341282921e-05,basketball
uniformerv2,8,randomforest,True,0.47152194211017734,0.006513678660583988,0.8586990351696234,0.003521228913471798,0.3079452063526114,0.012210578507548394,football
uniformerv2,8,svm,True,0.446311858076564,0.0,0.8602552131963898,0.003437709622529524,0.3053849590036243,0.0,football
uniformerv2,8,mlp,True,0.46685340802987857,0.0022871052687051066,0.8502956738250855,0.0011645370017970519,0.270818863561511,0.00516763320249777,football
videomaev2,32,randomforest,True,0.7419103313840156,0.0011027006334293347,0.9617933723196881,0.0011027006334292824,0.43930332515449527,0.0011628615963836689,basketball
videomaev2,32,svm,True,0.7485380116959064,0.0,0.9614035087719298,0.0009549667613189506,0.45367330832668745,0.0,basketball
videomaev2,32,mlp,True,0.7536062378167642,0.0005513503167146412,0.955945419103314,0.0005513503167146412,0.45299671223145244,0.0007045944582030459,basketball
uniformerv2,16,randomforest,True,0.6378167641325536,0.0024032803130483553,0.9337231968810916,0.004512996843193079,0.33340828164855507,0.002641246097020017,basketball
uniformerv2,16,svm,True,0.6280701754385964,0.0,0.9384015594541911,0.0014587358233036887,0.33719279684191966,0.0,basketball
uniformerv2,16,mlp,True,0.6432748538011697,0.0009549667613189959,0.9376218323586745,0.0011027006334292824,0.346061307683474,0.00038573060090174653,basketball
uniformerv2,32,randomforest,True,0.6304093567251462,0.0028649002839569422,0.931384015594542,0.0011027006334293349,0.33104887669945166,0.0018475016171825773,basketball
uniformerv2,32,svm,True,0.6292397660818714,0.0,0.9372319688109162,0.0005513503167146412,0.3454680613452621,0.0,basketball
uniformerv2,32,mlp,True,0.6167641325536062,0.0005513503167146936,0.9321637426900585,0.0,0.363764291403658,0.00021482219832796937,basketball
mvitv2,8,randomforest,True,0.37777777777777777,0.003443181624299352,0.7949317738791423,0.004306183632431692,0.08930733853392343,0.0018361759389531106,basketball
mvitv2,8,svm,True,0.40116959064327484,0.0,0.8191033138401559,0.0011027006334293347,0.12015559671475445,0.0,basketball
mvitv2,8,mlp,True,0.4023391812865497,0.0,0.7968810916179337,0.0005513503167146412,0.12173410643242903,0.00010910551352195866,basketball
mvitv2,16,randomforest,True,0.5290448343079922,0.003859452217002578,0.8576998050682261,0.0029174716466073775,0.18906521033920312,0.00552923930208794,basketball
mvitv2,16,svm,True,0.495906432748538,0.0,0.8510721247563353,0.0022054012668586173,0.20992742667711325,0.0,basketball
mvitv2,16,mlp,True,0.5044834307992202,0.0022054012668586173,0.842495126705653,0.0030697886448389283,0.15171958021283474,0.0018879369903476422,basketball
uniformerv2,8,randomforest,True,0.7249742002063982,0.003648641801788161,0.9571723426212589,0.0019306797661371976,0.4002239620400385,0.0073228632352975625,volleyball
uniformerv2,8,svm,True,0.7337461300309598,0.0,0.9571723426212589,0.0007297283603575902,0.482747466515464,0.0,volleyball
uniformerv2,8,mlp,True,0.7347781217750259,0.001459456720715233,0.958720330237358,0.001459456720715233,0.4759312583640185,0.000912435847740341,volleyball
mvitv2,32,randomforest,True,0.6589267285861714,0.003648641801788161,0.9195046439628483,0.006688070896189768,0.3638185529768802,0.0008844130647252969,volleyball
mvitv2,32,svm,True,0.6547987616099071,0.0,0.9091847265221878,0.0007297283603576426,0.3634462400757857,0.0,volleyball
mvitv2,32,mlp,True,0.6584107327141383,0.0007297283603575902,0.9148606811145511,0.0,0.3955292402757185,0.00024367192066523778,volleyball
videomaev2,16,randomforest,True,0.8632610939112487,0.001930679766137247,0.9829721362229101,0.0037917797875900577,0.6074160502632858,0.00909135652292977,volleyball
videomaev2,16,svm,True,0.8637770897832816,1.1102230246251565e-16,0.9850361197110423,0.0007297283603575902,0.6401769444342763,0.0,volleyball
videomaev2,16,mlp,True,0.8627450980392156,0.0007297283603576426,0.979876160990712,1.1102230246251565e-16,0.6163010962389855,0.002767132084137009,volleyball
uniformerv2,16,randomforest,True,0.7445820433436533,0.0033440354480948585,0.9649122807017544,0.0007297283603576426,0.42973966467868424,0.005915021914943538,volleyball
uniformerv2,16,svm,True,0.7461300309597524,1.1102230246251565e-16,0.9669762641898866,0.0007297283603575902,0.4308669118886201,0.0,volleyball
uniformerv2,16,mlp,True,0.7440660474716202,0.0019306797661372075,0.9638802889576884,0.0007297283603576426,0.4693039324632535,0.002535313161149099,volleyball
